     Cluster,,Occupations
6,,Marking Clerks
6,,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
6,,"Order Fillers, Wholesale and Retail Sales"
6,,Executive Secretaries and Executive Administrative Assistants
6,,Legal Secretaries
6,,Medical Secretaries
6,,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
6,,Data Entry Keyers
6,,Word Processors and Typists
6,,Insurance Claims Clerks
6,,Insurance Policy Processing Clerks
6,,"Mail Clerks and Mail Machine Operators, Except Postal Service"
6,,"Office Clerks, General"
6,,Proofreaders and Copy Markers
6,,"Graders and Sorters, Agricultural Products"
6,,Nursery Workers
6,,Slaughterers and Meat Packers
6,,Laundry and Dry-Cleaning Workers
6,,Ophthalmic Laboratory Technicians
6,,"Laborers and Freight, Stock, and Material Movers, Hand"
7,,Environmental Compliance Inspectors
7,,Farm Labor Contractors
7,,Energy Auditors
7,,Environmental Engineering Technicians
7,,Non-Destructive Testing Specialists
7,,Electrical Engineering Technologists
7,,Industrial Engineering Technologists
7,,Manufacturing Production Technicians
7,,Surveying Technicians
7,,Agricultural Technicians
7,,Food Science Technicians
7,,"Environmental Science and Protection Technicians, Including Health"
7,,Athletes and Sports Competitors
7,,Histotechnologists and Histologic Technicians
7,,Dietetic Technicians
7,,Home Health Aides
7,,Fire Inspectors
7,,Police Identification and Records Officers
7,,Parking Enforcement Workers
7,,Gaming Surveillance Officers and Gaming Investigators
7,,Security Guards
7,,Crossing Guards
7,,First-Line Supervisors of Food Preparation and Serving Workers
7,,"Cooks, Institution and Cafeteria"
7,,Food Preparation Workers
7,,Dishwashers
7,,First-Line Supervisors of Housekeeping and Janitorial Workers
7,,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
7,,Maids and Housekeeping Cleaners
7,,Pest Control Workers
7,,Animal Trainers
7,,Nonfarm Animal Caretakers
7,,Motion Picture Projectionists
7,,Funeral Attendants
7,,Baggage Porters and Bellhops
7,,"Meter Readers, Utilities"
7,,"Shipping, Receiving, and Traffic Clerks"
7,,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
7,,"Office Machine Operators, Except Computer"
7,,First-Line Supervisors of Animal Husbandry and Animal Care Workers
7,,Agricultural Inspectors
7,,Animal Breeders
7,,"Farmworkers and Laborers, Crop"
7,,Fishers and Related Fishing Workers
7,,Hunters and Trappers
7,,Forest and Conservation Workers
7,,Logging Equipment Operators
7,,Log Graders and Scalers
7,,Stonemasons
7,,Carpet Installers
7,,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
7,,Floor Sanders and Finishers
7,,Tile and Marble Setters
7,,Terrazzo Workers and Finishers
7,,Drywall and Ceiling Tile Installers
7,,Tapers
7,,Glaziers
7,,"Insulation Workers, Floor, Ceiling, and Wall"
7,,"Painters, Construction and Maintenance"
7,,Paperhangers
7,,Plasterers and Stucco Masons
7,,Sheet Metal Workers
7,,Solar Photovoltaic Installers
7,,Helpers--Electricians
7,,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
7,,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
7,,Helpers--Roofers
7,,Construction and Building Inspectors
7,,Fence Erectors
7,,Segmental Pavers
7,,Solar Thermal Installers and Technicians
7,,"Radio, Cellular, and Tower Equipment Installers and Repairers"
7,,Radio Mechanics
7,,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
7,,Avionics Technicians
7,,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
7,,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
7,,"Electronic Equipment Installers and Repairers, Motor Vehicles"
7,,Security and Fire Alarm Systems Installers
7,,Automotive Body and Related Repairers
7,,Automotive Glass Installers and Repairers
7,,Rail Car Repairers
7,,Motorcycle Mechanics
7,,Bicycle Repairers
7,,Mechanical Door Repairers
7,,Home Appliance Repairers
7,,Medical Equipment Repairers
