cluster,,Occupation
5,,Anthropologists
5,,Geographers
5,,Historians
5,,Substance Abuse and Behavioral Disorder Counselors
5,,"Educational, Guidance, School, and Vocational Counselors"
5,,Marriage and Family Therapists
5,,Mental Health Counselors
5,,Rehabilitation Counselors
5,,"Child, Family, and School Social Workers"
5,,Mental Health and Substance Abuse Social Workers
5,,Probation Officers and Correctional Treatment Specialists
5,,Social and Human Service Assistants
5,,Community Health Workers
5,,Clergy
5,,"Directors, Religious Activities and Education"
5,,"Arbitrators, Mediators, and Conciliators"
5,,"Judges, Magistrate Judges, and Magistrates"
5,,"Business Teachers, Postsecondary"
5,,"Computer Science Teachers, Postsecondary"
5,,"Mathematical Science Teachers, Postsecondary"
5,,"Architecture Teachers, Postsecondary"
5,,"Agricultural Sciences Teachers, Postsecondary"
5,,"Biological Science Teachers, Postsecondary"
5,,"Forestry and Conservation Science Teachers, Postsecondary"
5,,"Chemistry Teachers, Postsecondary"
5,,"Environmental Science Teachers, Postsecondary"
5,,"Anthropology and Archeology Teachers, Postsecondary"
5,,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
5,,"Economics Teachers, Postsecondary"
5,,"Geography Teachers, Postsecondary"
5,,"Political Science Teachers, Postsecondary"
5,,"Psychology Teachers, Postsecondary"
5,,"Sociology Teachers, Postsecondary"
5,,"Health Specialties Teachers, Postsecondary"
5,,"Education Teachers, Postsecondary"
5,,"Library Science Teachers, Postsecondary"
5,,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
5,,"Law Teachers, Postsecondary"
5,,"Social Work Teachers, Postsecondary"
5,,"Art, Drama, and Music Teachers, Postsecondary"
5,,"Communications Teachers, Postsecondary"
5,,"English Language and Literature Teachers, Postsecondary"
5,,"Foreign Language and Literature Teachers, Postsecondary"
5,,"History Teachers, Postsecondary"
5,,"Philosophy and Religion Teachers, Postsecondary"
5,,Graduate Teaching Assistants
5,,"Home Economics Teachers, Postsecondary"
5,,"Recreation and Fitness Studies Teachers, Postsecondary"
5,,"Vocational Education Teachers, Postsecondary"
5,,"Preschool Teachers, Except Special Education"
5,,"Kindergarten Teachers, Except Special Education"
5,,"Elementary School Teachers, Except Special Education"
5,,"Middle School Teachers, Except Special and Career/Technical Education"
5,,"Career/Technical Education Teachers, Middle School"
5,,"Secondary School Teachers, Except Special and Career/Technical Education"
5,,"Career/Technical Education Teachers, Secondary School"
5,,"Special Education Teachers, Kindergarten and Elementary School"
5,,"Special Education Teachers, Middle School"
5,,"Special Education Teachers, Secondary School"
5,,Adapted Physical Education Specialists
5,,Adult Basic and Secondary Education and Literacy Teachers and Instructors
5,,Tutors
5,,Farm and Home Management Advisors
5,,Instructional Coordinators
5,,Teacher Assistants
5,,Coaches and Scouts
5,,Interpreters and Translators
5,,Preventive Medicine Physicians
5,,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
5,,Speech-Language Pathologists
5,,Exercise Physiologists
5,,Advanced Practice Psychiatric Nurses
5,,Genetic Counselors
5,,Massage Therapists
5,,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
5,,Tour Guides and Escorts
5,,Nannies
5,,Fitness Trainers and Aerobics Instructors
5,,Recreation Workers
8,,School Psychologists
8,,Neuropsychologists and Clinical Neuropsychologists
8,,Healthcare Social Workers
8,,"Nursing Instructors and Teachers, Postsecondary"
8,,Chiropractors
8,,"Dentists, General"
8,,Oral and Maxillofacial Surgeons
8,,Orthodontists
8,,Prosthodontists
8,,Dietitians and Nutritionists
8,,Optometrists
8,,Pharmacists
8,,Anesthesiologists
8,,Family and General Practitioners
8,,"Internists, General"
8,,Obstetricians and Gynecologists
8,,"Pediatricians, General"
8,,Psychiatrists
8,,Surgeons
8,,Allergists and Immunologists
8,,Dermatologists
8,,Hospitalists
8,,Neurologists
8,,Nuclear Medicine Physicians
8,,Ophthalmologists
8,,Pathologists
8,,Physical Medicine and Rehabilitation Physicians
8,,Radiologists
8,,Sports Medicine Physicians
8,,Urologists
8,,Physician Assistants
8,,Anesthesiologist Assistants
8,,Podiatrists
8,,Occupational Therapists
8,,Physical Therapists
8,,Radiation Therapists
8,,Recreational Therapists
8,,Respiratory Therapists
8,,Veterinarians
8,,Registered Nurses
8,,Acute Care Nurses
8,,Critical Care Nurses
8,,Clinical Nurse Specialists
8,,Nurse Anesthetists
8,,Nurse Midwives
8,,Nurse Practitioners
8,,Audiologists
8,,Acupuncturists
8,,Naturopathic Physicians
8,,Orthoptists
8,,Medical and Clinical Laboratory Technologists
8,,Medical and Clinical Laboratory Technicians
8,,Dental Hygienists
8,,Cardiovascular Technologists and Technicians
8,,Diagnostic Medical Sonographers
8,,Nuclear Medicine Technologists
8,,Radiologic Technologists
8,,Magnetic Resonance Imaging Technologists
8,,Emergency Medical Technicians and Paramedics
8,,Psychiatric Technicians
8,,Respiratory Therapy Technicians
8,,Surgical Technologists
8,,Veterinary Technologists and Technicians
8,,Licensed Practical and Licensed Vocational Nurses
8,,Orthotists and Prosthetists
8,,Hearing Aid Specialists
8,,Neurodiagnostic Technologists
8,,Radiologic Technicians
8,,Surgical Assistants
8,,Athletic Trainers
8,,Midwives
8,,Psychiatric Aides
8,,Nursing Assistants
8,,Occupational Therapy Assistants
8,,Occupational Therapy Aides
8,,Physical Therapist Assistants
8,,Physical Therapist Aides
8,,Dental Assistants
8,,Medical Assistants
8,,Medical Equipment Preparers
8,,Veterinary Assistants and Laboratory Animal Caretakers
8,,Phlebotomists
8,,Speech-Language Pathology Assistants
8,,Endoscopy Technicians
8,,Fire Investigators
8,,Correctional Officers and Jailers
8,,Police Detectives
8,,Criminal Investigators and Special Agents
8,,Embalmers
8,,Personal Care Aides
8,,Patient Representatives
