,Basic Problem Solving,Hazard,Dexterity,Type of Vulnerability,,,,,,,,,
,,,,,,,,,,,,,
Job,,,,,,,Type 1,Type 2,Type 3,Type 4,Type 5,Type 6,Type 7
,,,,,,,,,,,,,
Pest Control Workers,-,-,-,`,,,0,0,0,0,0,0,0
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",-,1.25,-,2,,,0,2,0,0,0,0,0
Petroleum Engineers,-,-,-,`,,,0,0,0,0,0,0,0
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",-,1.62,-,2,,,0,2,0,0,0,0,0
Pharmacists,-,-,1.58,3,,,0,0,3,0,0,0,0
Pharmacy Aides,-1.08,-,1.06,1-3,,,0,0,0,0,5,0,0
Pharmacy Technicians,-,-,2.04,3,,,0,0,3,0,0,0,0
"Philosophy and Religion Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
Phlebotomists,-,-,1.32,3,,,0,0,3,0,0,0,0
Photographers,-1.02,-,1.04,1-3,,,0,0,0,0,5,0,0
Photographic Process Workers and Processing Machine Operators,-,-,0.85,3,,,0,0,3,0,0,0,0
Photonics Engineers,-,-,0.76,3,,,0,0,3,0,0,0,0
Photonics Technicians,-,-,1.04,3,,,0,0,3,0,0,0,0
Physical Medicine and Rehabilitation Physicians,-,-,-,`,,,0,0,0,0,0,0,0
Physical Therapist Aides,-1.12,-,-,1,,,1,0,0,0,0,0,0
Physical Therapist Assistants,-,-,1.13,3,,,0,0,3,0,0,0,0
Physical Therapists,-,-,1.41,3,,,0,0,3,0,0,0,0
Physician Assistants,-,-,0.86,3,,,0,0,3,0,0,0,0
Physicists,-,-,-,`,,,0,0,0,0,0,0,0
"Physics Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
Pile-Driver Operators,-0.87,1.91,-,1-2,,,0,0,0,4,0,0,0
"Pilots, Ship",-,1.68,-,2,,,0,2,0,0,0,0,0
Pipe Fitters and Steamfitters,-,1.32,-,2,,,0,2,0,0,0,0,0
Pipelayers,-0.96,1.26,-,1-2,,,0,0,0,4,0,0,0
Plasterers and Stucco Masons,-1.38,-,-,1,,,1,0,0,0,0,0,0
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",-,1.25,-,2,,,0,2,0,0,0,0,0
Plumbers,-,1.66,-,2,,,0,2,0,0,0,0,0
Podiatrists,-,-,1.00,3,,,0,0,3,0,0,0,0
"Poets, Lyricists and Creative Writers",-,-,-,`,,,0,0,0,0,0,0,0
Police Detectives,-,1.23,-,2,,,0,2,0,0,0,0,0
Police Identification and Records Officers,-,-,-,`,,,0,0,0,0,0,0,0
Police Patrol Officers,-,1.48,-,2,,,0,2,0,0,0,0,0
"Police, Fire, and Ambulance Dispatchers",-,-,1.22,3,,,0,0,3,0,0,0,0
"Political Science Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
Political Scientists,-,-,-,`,,,0,0,0,0,0,0,0
Postal Service Clerks,-0.95,-,1.15,1-3,,,0,0,0,0,5,0,0
Postal Service Mail Carriers,-1.45,-,-,1,,,1,0,0,0,0,0,0
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",-1.29,-,-,1,,,1,0,0,0,0,0,0
Postmasters and Mail Superintendents,-,-,-,`,,,0,0,0,0,0,0,0
"Potters, Manufacturing",-1.04,-,1.29,1-3,,,0,0,0,0,5,0,0
"Pourers and Casters, Metal",-,1.86,-,2,,,0,2,0,0,0,0,0
Power Distributors and Dispatchers,-,-,-,`,,,0,0,0,0,0,0,0
Power Plant Operators,-,1.51,-,2,,,0,2,0,0,0,0,0
Precious Metal Workers,-,-,-,`,,,0,0,0,0,0,0,0
Precision Agriculture Technicians,-,-,-,`,,,0,0,0,0,0,0,0
Prepress Technicians and Workers,-,-,0.82,3,,,0,0,3,0,0,0,0
"Preschool Teachers, Except Special Education",-,-,-,0,,,0,0,0,0,0,0,0
"Pressers, Textile, Garment, and Related Materials",-1.79,-,-,1,,,1,0,0,0,0,0,0
Preventive Medicine Physicians,-,-,-,`,,,0,0,0,0,0,0,0
Print Binding and Finishing Workers,-,-,-,`,,,0,0,0,0,0,0,0
Printing Press Operators,-,1.09,-,2,,,0,2,0,0,0,0,0
Private Detectives and Investigators,-,-,-,`,,,0,0,0,0,0,0,0
Probation Officers and Correctional Treatment Specialists,-,-,-,`,,,0,0,0,0,0,0,0
Procurement Clerks,-,-,-,`,,,0,0,0,0,0,0,0
Producers,-,-,-,`,,,0,0,0,0,0,0,0
Product Safety Engineers,-,-,-,`,,,0,0,0,0,0,0,0
"Production, Planning, and Expediting Clerks",-,-,-,`,,,0,0,0,0,0,0,0
Program Directors,-,-,0.76,3,,,0,0,3,0,0,0,0
Proofreaders and Copy Markers,-0.88,-,-,1,,,1,0,0,0,0,0,0
"Property, Real Estate, and Community Association Managers",-,-,-,`,,,0,0,0,0,0,0,0
Prosthodontists,-,1.20,1.98,2-3,,,0,0,0,0,0,6,0
Psychiatric Aides,-,-,-,`,,,0,0,0,0,0,0,0
Psychiatric Technicians,-,-,-,`,,,0,0,0,0,0,0,0
Psychiatrists,-,-,-,`,,,0,0,0,0,0,0,0
"Psychology Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
Public Address System and Other Announcers,-1.48,-,-,1,,,1,0,0,0,0,0,0
Public Relations and Fundraising Managers,-,-,-,`,,,0,0,0,0,0,0,0
Public Relations Specialists,-,-,-,`,,,0,0,0,0,0,0,0
"Pump Operators, Except Wellhead Pumpers",-,-,-,`,,,0,0,0,0,0,0,0
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",-,-,-,`,,,0,0,0,0,0,0,0
Purchasing Managers,-,-,-,`,,,0,0,0,0,0,0,0
Quality Control Analysts,-,-,-,`,,,0,0,0,0,0,0,0
Quality Control Systems Managers,-,-,0.77,3,,,0,0,3,0,0,0,0
Radiation Therapists,-,-,0.89,3,,,0,0,3,0,0,0,0
Radio and Television Announcers,-,-,-,`,,,0,0,0,0,0,0,0
Radio Frequency Identification Device Specialists,-,-,-,`,,,0,0,0,0,0,0,0
Radio Mechanics,-,-,0.75,3,,,0,0,3,0,0,0,0
Radio Operators,-,-,0.88,3,,,0,0,3,0,0,0,0
"Radio, Cellular, and Tower Equipment Installers and Repairers",-,-,-,`,,,0,0,0,0,0,0,0
Radiologic Technicians,-,-,1.80,3,,,0,0,3,0,0,0,0
Radiologic Technologists,-,-,0.98,3,,,0,0,3,0,0,0,0
Radiologists,-,-,0.92,3,,,0,0,3,0,0,0,0
Rail Car Repairers,-,1.54,-,2,,,0,2,0,0,0,0,0
"Rail Yard Engineers, Dinkey Operators, and Hostlers",-,1.24,-,2,,,0,2,0,0,0,0,0
"Railroad Brake, Signal, and Switch Operators",-,1.80,-,2,,,0,2,0,0,0,0,0
Railroad Conductors and Yardmasters,-,1.06,-,2,,,0,2,0,0,0,0,0
Rail-Track Laying and Maintenance Equipment Operators,-,1.85,-,2,,,0,2,0,0,0,0,0
Range Managers,-,-,-,`,,,0,0,0,0,0,0,0
Real Estate Brokers,-,-,-,`,,,0,0,0,0,0,0,0
Real Estate Sales Agents,-,-,-,`,,,0,0,0,0,0,0,0
Receptionists and Information Clerks,-1.13,-,-,1,,,1,0,0,0,0,0,0
"Recreation and Fitness Studies Teachers, Postsecondary",-,-,-,0,,,0,0,0,0,0,0,0
Recreation Workers,-1.05,-,-,1,,,1,0,0,0,0,0,0
Recreational Therapists,-,-,-,`,,,0,0,0,0,0,0,0
Recreational Vehicle Service Technicians,-,1.36,-,2,,,0,2,0,0,0,0,0
Recycling and Reclamation Workers,-1.40,1.20,-,1-2,,,0,0,0,4,0,0,0
Recycling Coordinators,-,-,-,`,,,0,0,0,0,0,0,0
"Refractory Materials Repairers, Except Brickmasons",-,1.45,-,2,,,0,2,0,0,0,0,0
Refrigeration Mechanics and Installers,-,1.85,-,2,,,0,2,0,0,0,0,0
Refuse and Recyclable Material Collectors,-1.13,1.30,-,1-2,,,0,0,0,4,0,0,0
Registered Nurses,-,-,1.04,3,,,0,0,3,0,0,0,0
Regulatory Affairs Managers,-,-,-,`,,,0,0,0,0,0,0,0
Regulatory Affairs Specialists,-,-,-,0,,,0,0,0,0,0,0,0
Rehabilitation Counselors,-,-,-,`,,,0,0,0,0,0,0,0
Reinforcing Iron and Rebar Workers,-0.91,1.37,-,1-2,,,0,0,0,4,0,0,0
Remote Sensing Scientists and Technologists,-,-,-,`,,,0,0,0,0,0,0,0
Remote Sensing Technicians,-,-,-,`,,,0,0,0,0,0,0,0
Reporters and Correspondents,-,-,-,`,,,0,0,0,0,0,0,0
Reservation and Transportation Ticket Agents and Travel Clerks,-,-,1.11,3,,,0,0,3,0,0,0,0
Residential Advisors,-,-,-,`,,,0,0,0,0,0,0,0
Respiratory Therapists,-,-,0.93,3,,,0,0,3,0,0,0,0
Respiratory Therapy Technicians,-,-,1.04,3,,,0,0,3,0,0,0,0
Retail Loss Prevention Specialists,-,-,-,`,,,0,0,0,0,0,0,0
Retail Salespersons,-1.55,-,-,1,,,1,0,0,0,0,0,0
Riggers,-,1.44,-,2,,,0,2,0,0,0,0,0
Risk Management Specialists,-,-,-,`,,,0,0,0,0,0,0,0
Robotics Engineers,-,-,1.54,3,,,0,0,3,0,0,0,0
Robotics Technicians,-,1.03,1.49,2-3,,,0,0,0,0,0,6,0
"Rock Splitters, Quarry",-1.05,1.32,-,1-2,,,0,0,0,4,0,0,0
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",-,1.23,-,2,,,0,2,0,0,0,0,0
"Roof Bolters, Mining",-,2.10,-,2,,,0,2,0,0,0,0,0
Roofers,-0.97,1.64,-,1-2,,,0,0,0,4,0,0,0
"Rotary Drill Operators, Oil and Gas",-,1.97,-,2,,,0,2,0,0,0,0,0
Rough Carpenters,-,1.27,-,2,,,0,2,0,0,0,0,0
"Roustabouts, Oil and Gas",-1.11,1.65,-,1-2,,,0,0,0,4,0,0,0
Sailors and Marine Oilers,-,1.68,-,2,,,0,2,0,0,0,0,0
"Sales Agents, Financial Services",-,-,-,`,,,0,0,0,0,0,0,0
"Sales Agents, Securities and Commodities",-,-,-,`,,,0,0,0,0,0,0,0
Sales Engineers,-,-,1.06,3,,,0,0,3,0,0,0,0
Sales Managers,-,-,-,`,,,0,0,0,0,0,0,0
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",-,-,-,`,,,0,0,0,0,0,0,0
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",-,-,-,`,,,0,0,0,0,0,0,0
"Sawing Machine Setters, Operators, and Tenders, Wood",-0.89,1.44,-,1-2,,,0,0,0,4,0,0,0
School Psychologists,-,-,-,`,,,0,0,0,0,0,0,0
Search Marketing Strategists,-,-,-,`,,,0,0,0,0,0,0,0
"Secondary School Teachers, Except Special and Career/Technical Education",-,-,-,`,,,0,0,0,0,0,0,0
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",-0.90,-,-,1,,,1,0,0,0,0,0,0
Securities and Commodities Traders,-,-,-,`,,,0,0,0,0,0,0,0
Security and Fire Alarm Systems Installers,-,-,-,`,,,0,0,0,0,0,0,0
Security Guards,-1.49,-,-,1,,,1,0,0,0,0,0,0
Security Management Specialists,-,-,-,`,,,0,0,0,0,0,0,0
Security Managers,-,-,-,`,,,0,0,0,0,0,0,0
Segmental Pavers,-1.11,-,-,1,,,1,0,0,0,0,0,0
Self-Enrichment Education Teachers,-1.01,-,-,1,,,1,0,0,0,0,0,0
Semiconductor Processors,-,-,-,`,,,0,0,0,0,0,0,0
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",-,1.10,-,2,,,0,2,0,0,0,0,0
Septic Tank Servicers and Sewer Pipe Cleaners,-,1.32,-,2,,,0,2,0,0,0,0,0
"Service Unit Operators, Oil, Gas, and Mining",-,2.02,-,2,,,0,2,0,0,0,0,0
Set and Exhibit Designers,-,-,0.92,3,,,0,0,3,0,0,0,0
"Sewers, Hand",-0.94,-,2.39,1-3,,,0,0,0,0,5,0,0
Sewing Machine Operators,-1.32,-,0.79,1-3,,,0,0,0,0,5,0,0
Shampooers,-2.25,-,-,1,,,1,0,0,0,0,0,0
Sheet Metal Workers,-,-,-,`,,,0,0,0,0,0,0,0
Sheriffs and Deputy Sheriffs,-,1.26,-,2,,,0,2,0,0,0,0,0
Ship and Boat Captains,-,1.21,-,2,,,0,2,0,0,0,0,0
Ship Engineers,-,1.97,-,2,,,0,2,0,0,0,0,0
"Shipping, Receiving, and Traffic Clerks",-1.14,-,-,1,,,1,0,0,0,0,0,0
Shoe and Leather Workers and Repairers,-1.52,-,-,1,,,1,0,0,0,0,0,0
Shoe Machine Operators and Tenders,-0.93,-,-,1,,,1,0,0,0,0,0,0
Signal and Track Switch Repairers,-,1.67,-,2,,,0,2,0,0,0,0,0
Singers,-2.12,-,-,1,,,1,0,0,0,0,0,0
Skincare Specialists,-1.24,-,2.02,1-3,,,0,0,0,0,5,0,0
Slaughterers and Meat Packers,-2.12,-,-,1,,,1,0,0,0,0,0,0
Slot Supervisors,-1.34,-,0.79,1-3,,,0,0,0,0,5,0,0
Social and Community Service Managers,-,-,-,`,,,0,0,0,0,0,0,0
Social and Human Service Assistants,-,-,-,`,,,0,0,0,0,0,0,0
Social Science Research Assistants,-,-,-,`,,,0,0,0,0,0,0,0
"Social Work Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
Sociologists,-,-,-,`,,,0,0,0,0,0,0,0
"Sociology Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
"Software Developers, Applications",-,-,-,`,,,0,0,0,0,0,0,0
"Software Developers, Systems Software",-,-,-,`,,,0,0,0,0,0,0,0
Software Quality Assurance Engineers and Testers,-,-,-,`,,,0,0,0,0,0,0,0
Soil and Plant Scientists,-,-,-,`,,,0,0,0,0,0,0,0
Soil and Water Conservationists,-,-,-,`,,,0,0,0,0,0,0,0
Solar Energy Installation Managers,-,-,-,`,,,0,0,0,0,0,0,0
Solar Energy Systems Engineers,-,-,-,`,,,0,0,0,0,0,0,0
Solar Photovoltaic Installers,-,-,-,`,,,0,0,0,0,0,0,0
Solar Sales Representatives and Assessors,-,-,-,`,,,0,0,0,0,0,0,0
Solar Thermal Installers and Technicians,-,-,-,`,,,0,0,0,0,0,0,0
Solderers and Brazers,-1.55,-,-,1,,,1,0,0,0,0,0,0
Sound Engineering Technicians,-,-,1.73,3,,,0,0,3,0,0,0,0
Spa Managers,-,-,-,`,,,0,0,0,0,0,0,0
"Special Education Teachers, Kindergarten and Elementary School",-,-,-,`,,,0,0,0,0,0,0,0
"Special Education Teachers, Middle School",-,-,-,`,,,0,0,0,0,0,0,0
"Special Education Teachers, Secondary School",-,-,-,`,,,0,0,0,0,0,0,0
Speech-Language Pathologists,-,-,-,`,,,0,0,0,0,0,0,0
Speech-Language Pathology Assistants,-,-,-,`,,,0,0,0,0,0,0,0
Sports Medicine Physicians,-,-,1.58,3,,,0,0,3,0,0,0,0
Statement Clerks,-0.89,-,-,1,,,1,0,0,0,0,0,0
Stationary Engineers and Boiler Operators,-,1.70,-,2,,,0,2,0,0,0,0,0
Statistical Assistants,-,-,-,`,,,0,0,0,0,0,0,0
Statisticians,-,-,-,`,,,0,0,0,0,0,0,0
"Stock Clerks- Stockroom, Warehouse, or Storage Yard",-1.76,-,-,1,,,1,0,0,0,0,0,0
"Stock Clerks, Sales Floor",-1.74,-,-,1,,,1,0,0,0,0,0,0
"Stone Cutters and Carvers, Manufacturing",-0.97,1.25,1.06,1-2-3,,,0,0,0,0,0,0,7
Stonemasons,-,-,-,`,,,0,0,0,0,0,0,0
Storage and Distribution Managers,-,-,-,`,,,0,0,0,0,0,0,0
Structural Iron and Steel Workers,-,1.92,-,2,,,0,2,0,0,0,0,0
Structural Metal Fabricators and Fitters,-0.86,-,-,1,,,1,0,0,0,0,0,0
Substance Abuse and Behavioral Disorder Counselors,-,-,-,`,,,0,0,0,0,0,0,0
Subway and Streetcar Operators,-,-,-,`,,,0,0,0,0,0,0,0
Supply Chain Managers,-,-,-,`,,,0,0,0,0,0,0,0
Surgeons,-,-,2.81,3,,,0,0,3,0,0,0,0
Surgical Assistants,-,-,2.02,3,,,0,0,3,0,0,0,0
Surgical Technologists,-,-,0.76,3,,,0,0,3,0,0,0,0
Survey Researchers,-,-,-,0,,,0,0,0,0,0,0,0
Surveying Technicians,-,-,-,0,,,0,0,0,0,0,0,0
Surveyors,-,-,-,0,,,0,0,0,0,0,0,0
Sustainability Specialists,-,-,-,0,,,0,0,0,0,0,0,0
"Switchboard Operators, Including Answering Service",-1.49,-,0.84,1-3,,,0,0,0,0,5,0,0
"Tailors, Dressmakers, and Custom Sewers",-1.09,-,1.56,1-3,,,0,0,0,0,5,0,0
Talent Directors,-,-,-,`,,,0,0,0,0,0,0,0
"Tank Car, Truck, and Ship Loaders",-,1.79,-,2,,,0,2,0,0,0,0,0
Tapers,-1.83,-,-,1,,,1,0,0,0,0,0,0
"Tax Examiners and Collectors, and Revenue Agents",-,-,0.84,3,,,0,0,3,0,0,0,0
Tax Preparers,-,-,-,`,,,0,0,0,0,0,0,0
Taxi Drivers and Chauffeurs,-1.10,-,-,1,,,1,0,0,0,0,0,0
Teacher Assistants,-1.17,-,-,1,,,1,0,0,0,0,0,0
Team Assemblers,-,-,1.44,3,,,0,0,3,0,0,0,0
Technical Directors/Managers,-,-,-,`,,,0,0,0,0,0,0,0
Technical Writers,-,-,-,`,,,0,0,0,0,0,0,0
Telecommunications Engineering Specialists,-,-,0.75,3,,,0,0,3,0,0,0,0
"Telecommunications Equipment Installers and Repairers, Except Line Installers",-,1.17,1.19,2-3,,,0,0,0,0,0,6,0
Telecommunications Line Installers and Repairers,-,1.42,-,2,,,0,2,0,0,0,0,0
Telemarketers,-2.23,-,-,1,,,1,0,0,0,0,0,0
Telephone Operators,-1.43,-,1.32,1-3,,,0,0,0,0,5,0,0
Tellers,-1.17,-,1.24,1-3,,,0,0,0,0,5,0,0
Terrazzo Workers and Finishers,-1.57,1.04,-,1-2,,,0,0,0,4,0,0,0
Textile Bleaching and Dyeing Machine Operators and Tenders,-0.98,-,-,1,,,1,0,0,0,0,0,0
"Textile Cutting Machine Setters, Operators, and Tenders",-0.94,-,-,1,,,1,0,0,0,0,0,0
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",-1.25,-,-,1,,,1,0,0,0,0,0,0
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",-1.20,-,-,1,,,1,0,0,0,0,0,0
Tile and Marble Setters,-,-,-,`,,,0,0,0,0,0,0,0
Timing Device Assemblers and Adjusters,-,-,0.98,3,,,0,0,3,0,0,0,0
Tire Builders,-0.98,1.25,-,1-2,,,0,0,0,4,0,0,0
Tire Repairers and Changers,-,1.32,-,2,,,0,2,0,0,0,0,0
"Title Examiners, Abstractors, and Searchers",-,-,-,`,,,0,0,0,0,0,0,0
Tool and Die Makers,-,1.19,-,2,,,0,2,0,0,0,0,0
"Tool Grinders, Filers, and Sharpeners",-,-,1.11,3,,,0,0,3,0,0,0,0
Tour Guides and Escorts,-1.61,-,-,1,,,1,0,0,0,0,0,0
Traffic Technicians,-,-,-,`,,,0,0,0,0,0,0,0
Training and Development Managers,-,-,-,`,,,0,0,0,0,0,0,0
Training and Development Specialists,-,-,-,`,,,0,0,0,0,0,0,0
Transit and Railroad Police,-,1.62,-,2,,,0,2,0,0,0,0,0
"Transportation Attendants, Except Flight Attendants",-1.56,-,-,1,,,1,0,0,0,0,0,0
Transportation Engineers,-,-,-,`,,,0,0,0,0,0,0,0
Transportation Managers,-,-,-,`,,,0,0,0,0,0,0,0
Transportation Planners,-,-,-,`,,,0,0,0,0,0,0,0
Transportation Security Screeners,-1.13,-,-,1,,,1,0,0,0,0,0,0
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",-,-,-,`,,,0,0,0,0,0,0,0
Travel Agents,-,-,-,`,,,0,0,0,0,0,0,0
Travel Guides,-1.19,-,-,1,,,1,0,0,0,0,0,0
Treasurers and Controllers,-,-,-,0,,,0,0,0,0,0,0,0
Tree Trimmers and Pruners,-,1.60,-,2,,,0,2,0,0,0,0,0
Tutors,-,-,-,`,,,0,0,0,0,0,0,0
"Umpires, Referees, and Other Sports Officials",-1.09,-,-,1,,,1,0,0,0,0,0,0
Upholsterers,-,-,2.01,3,,,0,0,3,0,0,0,0
Urban and Regional Planners,-,-,-,`,,,0,0,0,0,0,0,0
Urologists,-,-,1.30,3,,,0,0,3,0,0,0,0
"Ushers, Lobby Attendants, and Ticket Takers",-2.24,-,-,1,,,1,0,0,0,0,0,0
Validation Engineers,-,-,-,`,,,0,0,0,0,0,0,0
Veterinarians,-,-,1.43,3,,,0,0,3,0,0,0,0
Veterinary Assistants and Laboratory Animal Caretakers,-,-,-,`,,,0,0,0,0,0,0,0
Veterinary Technologists and Technicians,-,-,1.76,3,,,0,0,3,0,0,0,0
Video Game Designers,-,-,1.40,3,,,0,0,3,0,0,0,0
"Vocational Education Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
Waiters and Waitresses,-1.82,-,-,1,,,1,0,0,0,0,0,0
Watch Repairers,-,-,1.47,3,,,0,0,3,0,0,0,0
Water and Wastewater Treatment Plant and System Operators,-,1.41,-,2,,,0,2,0,0,0,0,0
Water Resource Specialists,-,-,-,`,,,0,0,0,0,0,0,0
Water/Wastewater Engineers,-,-,-,`,,,0,0,0,0,0,0,0
Weatherization Installers and Technicians,-,1.23,-,2,,,0,2,0,0,0,0,0
Web Administrators,-,-,-,0,,,0,0,0,0,0,0,0
Web Developers,-,-,0.99,3,,,0,0,3,0,0,0,0
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",-,-,-,`,,,0,0,0,0,0,0,0
"Welders, Cutters, and Welder Fitters",-,1.32,-,2,,,0,2,0,0,0,0,0
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",-,1.16,-,2,,,0,2,0,0,0,0,0
Wellhead Pumpers,-,1.66,-,2,,,0,2,0,0,0,0,0
"Wholesale and Retail Buyers, Except Farm Products",-,-,-,`,,,0,0,0,0,0,0,0
Wind Energy Engineers,-,-,-,`,,,0,0,0,0,0,0,0
Wind Energy Operations Managers,-,-,-,`,,,0,0,0,0,0,0,0
Wind Energy Project Managers,-,-,-,`,,,0,0,0,0,0,0,0
Wind Turbine Service Technicians,-,1.66,-,2,,,0,2,0,0,0,0,0
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",-,1.22,-,2,,,0,2,0,0,0,0,0
Word Processors and Typists,-1.61,-,0.80,1-3,,,0,0,0,0,5,0,0
Zoologists and Wildlife Biologists,-,-,-,`,,,0,0,0,0,0,0,0
,,,,,,,129,296,435,116,170,96,7
,,,,,,,130,148,145,29,34,16,1
,,,,,,,1,2,3,1-2,1-3,2-3,
,,,,,,,,,,,,,
Type,Number,,,Total vulnerable jobs,,,503,,,,,,
1,130,,,,,,,,,,,,
2,148,,,,,,,,,,,,
3,145,,,,,,,,,,,,
1-2,29,,,,,,,,,,,,
1-3,34,,,,,,,,,,,,
2-3,16,,,,,,,,,,,,
1-2-3,1,,,,,,,,,,,,
,503,,,,,,,,,,,,
